full_name,eccentricity,inclination (deg),node (deg),perihelion arg (deg),perihelion distance (au),aphelion distance (au),data_arc,condition_code,n_obs_used,absolute magnitude,n,mean anomaly,time perihelion passage (tdb),spkid,pdes,pha_
       (2013 RY80),0.4209,6.37,348.02,351.72,1.026,2.52,24.0,7.0,21,25.8,0.4178,6.19,2459985.68,3648367,2013 RY80,0
       (2013 RK96),0.5047,11.09,8.72,139.65,0.783,2.38,4006.0,0.0,77,19.05,0.4962,133.59,2459531.29,54297806,2013 RK96,0
       (2013 SF),0.6151,14.6,250.42,163.17,0.874,3.67,2728.0,1.0,136,19.2,0.2882,260.8,2460344.65,3648412,2013 SF,0
       (2013 SR),0.3162,7.47,0.11,43.68,1.029,1.98,27.0,7.0,70,24.1,0.5335,13.4,2459975.38,3648467,2013 SR,0
       (2013 SS),0.4921,10.26,357.56,334.55,1.098,3.23,37.0,6.0,25,24.2,0.31,353.97,2460019.96,3648468,2013 SS,0
       (2013 ST),0.2238,10.84,182.54,24.54,0.677,1.07,19.0,6.0,114,24.7,1.209,338.93,2460017.93,3648469,2013 ST,0
       (2013 SK19),0.4285,26.5,231.32,146.96,1.285,3.21,3532.0,1.0,302,18.75,0.2923,284.85,2460257.59,3648531,2013 SK19,0
       (2013 SL19),0.5583,0.81,327.53,55.88,1.242,4.38,40.0,7.0,38,22.5,0.2091,351.76,2460039.89,3648533,2013 SL19,0
       (2013 SO19),0.499,12.94,0.54,345.22,1.116,3.34,52.0,6.0,175,21.97,0.2966,304.73,2460186.8,3648534,2013 SO19,0
       (2013 SP19),0.2389,2.33,0.78,326.03,0.978,1.59,3.0,7.0,21,29.2,0.6766,188.89,2460253.39,3648532,2013 SP19,0
       (2013 SQ19),0.5457,8.81,181.67,172.94,1.06,3.6,15.0,8.0,23,25.54,0.2767,1.32,2456553.73,3648536,2013 SQ19,0
       (2013 SR19),0.4155,14.57,0.71,257.06,0.673,1.63,1.0,9.0,12,26.3,0.7981,55.71,2456490.7,3648535,2013 SR19,0
       (2013 SS19),0.5957,17.33,185.38,312.58,0.478,1.89,3297.0,0.0,110,21.12,0.7669,49.76,2459935.61,3648543,2013 SS19,0
       (2013 ST19),0.3468,21.14,176.15,243.89,0.938,1.93,12.0,8.0,53,22.7,0.5726,329.22,2456615.25,3648537,2013 ST19,0
       (2013 SU19),0.4699,7.57,178.45,224.58,1.018,2.82,2928.0,0.0,36,24.9,0.3703,178.68,2459517.95,3648538,2013 SU19,0
       (2013 SV19),0.5491,0.97,347.55,34.98,1.264,4.34,39.0,7.0,40,22.0,0.2099,356.14,2460018.88,3648541,2013 SV19,0
       (2013 SW19),0.3727,5.44,359.52,316.75,0.95,2.08,1.0,9.0,13,27.0,0.5287,20.65,2456521.44,3648539,2013 SW19,0
       (2013 SX19),0.3573,27.86,1.29,329.51,1.046,2.21,18.0,8.0,71,23.1,0.475,17.56,2456529.53,3648540,2013 SX19,0
       (2013 SY19),0.2234,2.73,198.58,140.59,1.086,1.71,15.0,7.0,29,24.8,0.5962,265.01,2460159.84,3648542,2013 SY19,0
       (2013 SA20),0.6547,5.19,351.12,141.89,0.529,2.54,1962.0,0.0,81,21.11,0.5193,293.97,2460127.66,3648630,2013 SA20,0
       (2013 SB20),0.0859,7.11,181.58,319.94,0.992,1.18,9.0,7.0,23,24.8,0.8714,343.74,2460019.16,3648631,2013 SB20,0
       (2013 SC20),0.1151,19.45,180.49,116.22,1.239,1.56,41.0,6.0,34,22.5,0.5947,298.23,2460104.37,3648629,2013 SC20,0
       (2013 SD20),0.2683,20.27,180.16,270.02,0.846,1.47,8.0,7.0,42,23.9,0.7926,148.54,2459813.09,3648632,2013 SD20,0
       (2013 SK20),0.3941,5.0,2.35,89.06,0.741,1.7,2.0,7.0,34,27.4,0.7293,304.81,2460076.18,3648644,2013 SK20,0
       (2013 SL20),0.4032,4.29,8.5,115.66,0.645,1.52,3303.0,0.0,82,24.62,0.8776,60.98,2459931.02,3648643,2013 SL20,0
       (2013 SM20),0.2708,3.97,341.26,182.93,0.617,1.08,2553.0,0.0,80,25.1,1.265,244.07,2460092.13,3648642,2013 SM20,0
       (2013 SN20),0.3289,28.48,4.07,349.98,1.026,2.03,13.0,8.0,59,23.1,0.5214,6.93,2456552.21,3648645,2013 SN20,0
       (2013 SO20),0.1635,32.76,15.06,21.57,1.184,1.65,1872.0,0.0,37,21.8,0.5853,196.5,2460279.83,3648641,2013 SO20,0
       (2013 SB21),0.2312,0.81,186.02,205.36,1.028,1.65,73.0,6.0,55,27.0,0.6376,14.95,2459977.06,3648676,2013 SB21,0
       (2013 SC21),0.5225,2.77,185.2,248.23,0.82,2.61,9.0,8.0,44,25.0,0.4381,337.81,2456615.15,3648677,2013 SC21,0
       (2013 SD21),0.5552,7.87,183.47,209.09,1.003,3.51,6.0,8.0,31,25.3,0.2911,352.9,2456587.88,3648679,2013 SD21,0
       (2013 SE21),0.5712,3.35,19.91,8.68,1.065,3.9,44.0,6.0,92,23.9,0.2518,140.93,2459440.76,3648678,2013 SE21,0
       (2013 SM24),0.3164,2.39,179.75,169.62,1.101,2.12,17.0,8.0,20,25.7,0.4822,8.83,2456548.19,3648710,2013 SM24,0
       (2013 SN24),0.2585,10.09,189.46,353.71,0.618,1.05,7.0,7.0,45,25.0,1.296,315.91,2460034.53,3648711,2013 SN24,0
       (2013 SO24),0.1765,25.3,186.62,130.65,1.031,1.47,7.0,8.0,33,23.4,0.7036,38.49,2456511.8,3648712,2013 SO24,0
       (2013 SR24),0.3659,16.67,342.93,332.45,1.083,2.33,3291.0,0.0,144,20.62,0.4414,97.19,2459780.29,3648713,2013 SR24,0
       (2013 SU24),0.3282,5.39,9.42,28.82,0.986,1.95,69.0,3.0,231,24.5,0.5541,88.01,2459841.68,3648714,2013 SU24,0
       (2013 SV24),0.5573,17.63,15.99,355.51,1.208,4.25,3334.0,0.0,108,21.22,0.2186,27.79,2459873.38,3648715,2013 SV24,0
       (2013 SW24),0.6516,6.14,347.15,323.88,0.931,4.41,261.0,4.0,255,21.0,0.2256,64.33,2459715.32,3648716,2013 SW24,1
       (2013 SX24),0.4733,12.26,13.43,325.05,1.048,2.93,34.0,7.0,60,23.5,0.3512,135.21,2459615.49,3648729,2013 SX24,0
       (2013 SF25),0.367,34.54,5.33,33.92,0.999,2.16,3.0,9.0,21,23.9,0.4974,345.74,2456596.16,3648738,2013 SF25,0
       (2013 SG25),0.3281,18.42,211.36,84.11,1.03,2.04,35.0,6.0,32,21.52,0.5195,30.77,2459941.26,3648737,2013 SG25,0
       (2013 SL30),0.557,32.07,14.82,270.38,1.11,3.9,2952.0,0.0,157,19.34,0.2484,156.03,2459372.49,3648761,2013 SL30,0
       (2013 TC),0.5905,7.35,199.16,145.38,1.172,4.55,12.0,9.0,20,23.4,0.2035,6.23,2456541.88,3648736,2013 TC,0
       (2013 TD),0.5668,0.43,254.93,101.15,1.002,3.63,2569.0,0.0,61,26.6,0.2801,248.22,2460399.63,3648735,2013 TD,0
       (2013 TE),0.5744,19.64,203.79,190.52,1.218,4.5,75.0,5.0,154,20.8,0.2037,332.35,2460136.22,3648742,2013 TE,0
       (2013 TF),0.7372,18.53,193.44,88.98,0.747,4.94,9.0,8.0,40,22.3,0.2057,12.53,2456508.58,3648741,2013 TF,0
       (2013 TG),0.3609,3.13,9.24,249.29,0.72,1.53,8.0,8.0,28,24.8,0.8239,71.3,2456482.96,3648740,2013 TG,0
       (2013 TH),0.1232,13.33,189.77,205.08,1.12,1.44,30.0,7.0,46,23.8,0.6823,163.0,2459761.61,3648743,2013 TH,0
       (2013 TJ),0.5877,25.67,188.93,117.99,0.838,3.23,2.0,8.0,28,25.7,0.3404,15.14,2456523.01,3648744,2013 TJ,0
       (2013 TK),0.5736,5.2,171.44,235.39,1.065,3.93,56.0,7.0,40,24.2,0.2499,131.44,2459474.52,3648739,2013 TK,0
       (2013 TL),0.4597,5.89,14.74,62.01,0.903,2.44,185.0,5.0,52,22.2,0.4562,102.21,2459776.48,3648745,2013 TL,0
       (2013 TC4),0.5184,28.98,4.28,314.55,0.988,3.11,21.0,7.0,36,22.6,0.3355,84.19,2459749.58,3648764,2013 TC4,0
       (2013 TE4),0.2641,14.02,188.56,142.05,1.046,1.8,5.0,8.0,22,25.1,0.582,22.76,2456529.4,3648763,2013 TE4,0
       (2013 TF4),0.1858,7.69,4.32,354.84,1.095,1.59,24.0,7.0,39,24.7,0.6319,16.2,2459974.86,3648765,2013 TF4,0
       (2013 TG4),0.2958,3.89,345.58,46.75,1.258,2.31,87.0,5.0,49,21.8,0.4131,331.36,2460069.83,3648766,2013 TG4,0
       (2013 TH4),0.4235,28.03,188.46,2.42,0.512,1.27,8.0,7.0,24,23.2,1.176,252.41,2460091.97,3648767,2013 TH4,0
       (2013 TJ4),0.2589,21.32,192.93,244.32,1.153,1.96,30.0,7.0,29,22.4,0.508,263.23,2460191.01,3648768,2013 TJ4,0
       (2013 TK4),0.2479,7.02,204.05,23.74,0.704,1.17,419.0,3.0,25,24.0,1.088,265.33,2460087.49,3648769,2013 TK4,0
       (2013 TM4),0.5834,0.83,112.16,228.57,1.047,3.98,2908.0,0.0,81,24.35,0.2476,134.04,2459459.12,3648839,2013 TM4,0
       (2013 TN4),0.3834,14.25,189.09,156.94,1.016,2.28,5.0,8.0,21,25.2,0.4662,9.58,2456548.95,3648840,2013 TN4,0
       (2013 TO4),0.5245,5.07,204.13,204.85,0.946,3.03,5.0,7.0,44,25.3,0.3514,114.64,2459674.25,3648842,2013 TO4,0
       (2013 TP4),0.7602,6.32,188.82,73.41,0.451,3.31,10.0,8.0,23,27.3,0.3819,19.63,2456520.09,3648841,2013 TP4,0
       (2013 TQ4),0.4699,1.25,195.2,171.29,1.013,2.81,2.0,7.0,44,27.4,0.3731,201.47,2460425.42,3648843,2013 TQ4,0
       (2013 TR4),0.1238,15.63,194.38,88.37,1.087,1.39,10.0,7.0,24,23.3,0.7135,5.27,2459993.12,3648844,2013 TR4,0
       (2013 TS4),0.3613,2.63,217.3,186.37,1.232,2.63,3018.0,0.0,298,20.9,0.3681,172.23,2459532.58,3648846,2013 TS4,0
       (2013 TG5),0.4767,23.2,47.73,328.56,1.298,3.66,1515.0,1.0,59,19.8,0.2524,149.57,2459407.83,3648950,2013 TG5,0
       (2013 TQ5),0.1557,16.4,286.74,247.21,0.653,0.89,2269.0,1.0,47,19.8,1.448,108.5,2459925.58,3648862,2013 TQ5,0
       (2013 TR5),0.1274,46.7,344.89,277.79,0.813,1.05,3406.0,0.0,119,19.22,1.096,250.65,2460100.23,3648865,2013 TR5,0
       (2013 TS5),0.4881,54.32,195.57,336.35,0.567,1.65,3314.0,0.0,153,19.36,0.8446,279.75,2460095.52,3648863,2013 TS5,0
       (2013 TT5),0.0923,7.34,11.89,77.32,0.961,1.16,13.0,6.0,28,26.3,0.9054,159.09,2459824.78,3648864,2013 TT5,0
       (2013 TX5),0.3032,13.02,1.18,17.33,1.163,2.17,33.0,7.0,53,23.0,0.4573,125.86,2459725.28,3648869,2013 TX5,0
       (2013 TY5),0.5998,6.23,203.65,220.47,1.002,4.01,22.0,8.0,41,24.0,0.2487,349.41,2456615.09,3648871,2013 TY5,0
       (2013 TZ5),0.5266,10.17,203.63,158.15,1.139,3.67,20.0,8.0,32,23.4,0.264,5.43,2456558.91,3648868,2013 TZ5,0
       (2013 TA6),0.4452,18.59,194.06,189.26,1.059,2.76,8.0,8.0,31,24.7,0.374,356.65,2456580.47,3648870,2013 TA6,0
       (2013 TB6),0.4835,14.35,22.6,201.88,0.406,1.17,2603.0,0.0,85,22.6,1.416,288.74,2460050.84,3648873,2013 TB6,0
       (2013 TC6),0.4752,9.89,192.63,120.55,0.86,2.42,28.0,6.0,50,23.41,0.4698,193.32,2460355.29,3648874,2013 TC6,0
       (2013 TD6),0.4778,30.06,11.44,22.41,1.286,3.64,23.0,7.0,29,22.0,0.255,150.11,2459411.82,3648872,2013 TD6,0
       (2013 TE6),0.5348,7.29,221.57,187.15,1.135,3.75,124.0,4.0,269,21.8,0.2585,158.79,2459386.23,3648877,2013 TE6,0
       (2013 TF6),0.3476,22.58,202.57,39.28,0.794,1.64,2929.0,0.0,60,21.66,0.7342,95.05,2459871.04,3648875,2013 TF6,0
       (2013 TG6),0.1262,3.21,13.92,221.19,0.82,1.06,7.0,6.0,63,26.6,1.084,244.15,2460107.38,3648878,2013 TG6,0
       (2013 TH6),0.5554,10.09,5.15,315.85,0.915,3.2,12.0,8.0,23,25.8,0.334,14.63,2456530.71,3648876,2013 TH6,0
       (2013 TJ6),0.1322,27.12,14.11,12.68,1.026,1.34,7.0,8.0,41,25.2,0.7662,350.35,2456585.09,3648879,2013 TJ6,0
       (2013 TQ12),0.487,7.59,12.44,274.84,0.788,2.28,16.0,7.0,23,23.89,0.5179,12.07,2459977.19,3648980,2013 TQ12,0
       (2013 TR12),0.5674,8.82,11.14,303.56,0.839,3.04,2.0,8.0,22,28.6,0.3648,15.06,2456530.21,3648981,2013 TR12,0
       (2013 TW68),0.5489,11.96,15.75,300.04,1.173,4.03,34.0,6.0,33,21.3,0.2349,103.57,2459559.67,3648982,2013 TW68,0
       (2013 TX68),0.5517,1.11,165.75,286.97,0.744,2.58,10.0,8.0,36,25.2,0.4607,334.38,2456626.11,3648983,2013 TX68,0
       (2013 TY68),0.4167,4.97,195.9,117.18,0.878,2.13,1.0,9.0,13,28.0,0.5342,25.3,2456525.13,3648984,2013 TY68,0
       (2013 TG69),0.6141,8.08,9.46,32.32,1.287,5.38,63.0,5.0,79,20.8,0.1618,188.1,2461062.75,3649826,2013 TG69,0
       (2013 TH69),0.5629,2.31,336.51,51.46,1.078,3.86,11.0,8.0,55,24.2,0.2544,357.67,2456584.68,3649827,2013 TH69,0
       (2013 TJ69),0.587,10.29,181.43,121.06,0.999,3.84,6.0,9.0,30,22.11,0.2619,15.58,2456513.0,3649824,2013 TJ69,0
       (2013 TK69),0.6221,5.05,175.05,255.62,0.956,4.11,3034.0,0.0,48,23.34,0.2448,108.96,2459555.4,3649823,2013 TK69,0
       (2013 TL69),0.5279,35.27,198.19,187.53,1.168,3.78,26.0,7.0,80,21.3,0.2532,143.42,2459433.98,3649825,2013 TL69,0
       (2013 TM69),0.3541,6.62,10.73,293.6,0.864,1.81,4.0,8.0,21,26.4,0.6374,36.31,2456516.54,3650044,2013 TM69,0
       (2013 TN69),0.5853,6.53,189.9,226.16,1.037,3.97,60.0,6.0,55,23.3,0.2491,125.31,2459497.5,3650046,2013 TN69,0
       (2013 TO69),0.5985,0.57,268.43,135.74,1.036,4.12,31.0,7.0,41,25.8,0.2379,90.51,2459620.07,3650045,2013 TO69,0
       (2013 TB80),0.5438,12.7,58.97,17.67,1.289,4.36,7815.0,0.0,636,17.55,0.2076,336.39,2460114.19,3650362,2013 TB80,0
       (2013 TL127),0.6505,0.31,43.35,285.1,0.882,4.17,2.0,7.0,63,26.7,0.2457,128.66,2459476.88,3650849,2013 TL127,0
       (2013 TN127),0.0968,13.46,198.76,2.36,0.845,1.03,3.0,5.0,31,26.2,1.09,308.5,2460047.74,3650847,2013 TN127,0
       (2013 TR132),0.3614,31.96,35.39,330.09,0.926,1.97,2560.0,0.0,61,20.07,0.5643,145.96,2459741.84,3651153,2013 TR132,1
       (2013 TS132),0.3283,11.59,195.62,243.16,1.259,2.49,4901.0,0.0,76,20.03,0.3838,195.36,2460429.43,3651154,2013 TS132,0
       (2013 TU132),0.2918,13.03,20.88,348.97,1.208,2.2,19.0,8.0,17,24.5,0.4424,7.38,2456567.81,3651155,2013 TU132,0
       (2013 TV132),0.557,1.79,192.01,152.68,0.97,3.41,21.0,7.0,34,26.6,0.3042,328.91,2460102.7,3651157,2013 TV132,0
       (2013 TE135),0.7582,6.05,182.24,103.14,0.572,4.15,1208.0,0.0,122,19.9,0.2713,225.24,2460497.25,3651158,2013 TE135,1
       (2013 TF135),0.5547,12.88,197.13,197.51,1.039,3.63,4.0,8.0,32,25.4,0.2764,356.27,2456591.99,3651159,2013 TF135,0
       (2013 TG135),0.4972,9.53,193.1,351.88,0.355,1.06,2.0,8.0,29,25.2,1.661,216.45,2456664.93,3651161,2013 TG135,0
       (2013 TH135),0.44,6.7,87.05,266.43,1.232,3.17,46.0,6.0,51,20.8,0.3019,321.82,2460126.97,3651160,2013 TH135,0
       (2013 TJ135),0.6359,15.97,27.47,277.2,0.943,4.24,210.0,6.0,54,20.7,0.2365,107.09,2459547.61,3651162,2013 TJ135,0
       (2013 TL135),0.512,15.76,198.36,198.57,1.276,3.95,74.0,5.0,67,21.5,0.2332,74.31,2459681.81,3651163,2013 TL135,0
       (2013 TM135),0.5689,4.22,21.49,357.08,1.063,3.87,4.0,8.0,24,26.1,0.2545,0.58,2456577.21,3651165,2013 TM135,0
       (2013 TQ135),0.079,16.7,198.02,229.91,1.016,1.19,1.0,8.0,21,24.9,0.8506,315.49,2456629.83,3651168,2013 TQ135,0
       (2013 TR135),0.8094,1.79,243.63,17.74,0.424,4.02,2.0,9.0,18,23.2,0.2972,17.22,2456521.54,3651167,2013 TR135,0
       (2013 TS135),0.5445,21.46,24.68,54.54,1.13,3.83,28.0,7.0,37,21.7,0.2523,127.64,2459494.52,3651166,2013 TS135,0
       (2013 TT135),0.6013,6.49,341.43,327.3,0.855,3.44,1152.0,0.0,52,21.9,0.3137,10.96,2459965.56,3651169,2013 TT135,1
       (2013 TU135),0.5906,13.03,202.28,174.28,1.025,3.98,20.0,8.0,37,24.0,0.2486,1.87,2456574.99,3651170,2013 TU135,0
       (2013 TV135),0.5944,6.75,333.36,23.83,0.984,3.87,1377.0,0.0,958,19.5,0.2608,177.99,2459317.97,3651198,2013 TV135,1
       (2013 TW135),0.257,34.19,23.65,98.37,1.058,1.79,3434.0,1.0,91,20.4,0.5798,112.64,2459806.23,3651199,2013 TW135,0
       (2013 TC136),0.4925,22.33,220.46,107.0,1.133,3.33,71.0,5.0,101,19.41,0.2955,313.43,2460158.1,3651224,2013 TC136,0
       (2013 TV144),0.3039,2.61,45.4,294.34,1.233,2.31,2597.0,0.0,266,20.7,0.4182,19.09,2459954.85,3653212,2013 TV144,0
       (2013 UB),0.3146,3.23,209.47,314.35,0.58,1.11,5.0,3.0,79,26.6,1.265,251.22,2460086.52,3651205,2013 UB,0
       (2013 UC),0.4654,6.18,239.19,150.61,1.206,3.31,77.0,5.0,68,21.8,0.2908,273.59,2460297.68,3651206,2013 UC,0
       (2013 UK),0.3793,7.22,265.44,125.95,1.145,2.54,47.0,6.0,44,23.3,0.3933,261.48,2460251.0,3651225,2013 UK,0
       (2013 UX),0.5601,5.46,259.36,51.97,0.747,2.65,42.0,7.0,53,22.0,0.4454,104.88,2459765.03,3652856,2013 UX,0
       (2013 UY),0.3447,19.54,39.97,55.73,0.959,1.97,2735.0,0.0,100,20.78,0.5568,71.5,2459872.1,3652857,2013 UY,0
       (2013 UZ),0.62,4.6,321.48,18.94,0.913,3.89,22.0,7.0,63,22.4,0.2647,191.63,2460636.54,3652858,2013 UZ,0
       (2013 UB1),0.6329,6.7,286.24,173.67,0.894,3.98,144.0,6.0,102,20.84,0.2594,141.62,2459454.55,3652981,2013 UB1,0
       (2013 UC1),0.3389,4.05,25.73,30.58,1.04,2.11,64.0,5.0,61,24.7,0.4992,248.67,2460223.51,3652982,2013 UC1,0
       (2013 UD1),0.3274,5.78,213.02,111.33,0.885,1.75,12.0,7.0,58,24.7,0.6533,104.66,2459840.29,3652983,2013 UD1,0
       (2013 UE1),0.5273,2.69,201.4,236.89,0.938,3.03,15.0,7.0,63,24.4,0.3527,109.18,2459690.94,3652984,2013 UE1,0
       (2013 UG1),0.4833,10.7,24.46,216.53,0.412,1.18,1844.0,0.0,327,22.5,1.383,140.69,2459898.79,3652985,2013 UG1,0
       (2013 UP1),0.5479,4.21,333.81,51.34,1.112,3.81,18.0,7.0,38,23.6,0.2554,153.37,2459399.99,3653044,2013 UP1,0
       (2013 UQ1),0.3617,9.92,30.08,13.57,1.034,2.21,5.0,7.0,40,25.4,0.4779,184.38,2460368.02,3653045,2013 UQ1,0
       (2013 UR1),0.73,2.7,30.29,271.8,0.601,3.85,7.0,8.0,25,27.9,0.2964,14.94,2456542.09,3653046,2013 UR1,0
       (2013 US1),0.2389,2.12,207.13,17.52,0.678,1.1,10.0,7.0,30,25.6,1.172,199.01,2460137.89,3653047,2013 US1,0
       (2013 UU1),0.5574,1.63,144.02,248.53,1.057,3.72,23.0,7.0,38,24.25,0.2671,191.82,2460630.05,3653048,2013 UU1,0
       (2013 UX2),0.1493,4.11,211.41,228.03,0.952,1.29,1.0,5.0,15,29.2,0.8329,284.21,2460091.49,3653065,2013 UX2,0
       (2013 UB3),0.1977,4.82,213.6,351.37,0.71,1.06,1848.0,1.0,39,25.8,1.185,270.48,2460076.05,3653066,2013 UB3,0
       (2013 UC3),0.2716,21.59,33.2,5.37,1.2,2.09,16.0,8.0,27,23.8,0.4662,357.65,2456599.54,3653067,2013 UC3,0
       (2013 UF3),0.6462,13.98,42.29,108.97,0.579,2.7,720.0,2.0,72,22.2,0.4705,125.4,2459733.97,3653069,2013 UF3,0
       (2013 US3),0.1852,12.32,39.54,134.19,0.979,1.42,3026.0,0.0,283,21.31,0.7479,268.53,2460122.8,3653190,2013 US3,1
       (2013 UT3),0.5607,0.98,200.59,102.69,0.669,2.38,2.0,8.0,30,27.1,0.5246,28.48,2456536.21,3653191,2013 UT3,0
       (2013 UV3),0.5456,1.3,212.9,284.51,0.577,1.96,4.0,7.0,50,26.8,0.6895,149.93,2459783.05,3653193,2013 UV3,0
       (2013 UR4),0.5178,5.67,26.01,12.88,1.111,3.5,12.0,8.0,40,24.8,0.2816,358.41,2456598.16,3653214,2013 UR4,0
       (2013 US4),0.0815,10.0,29.64,279.51,0.986,1.16,5.0,6.0,39,26.25,0.8857,213.01,2460166.47,3653215,2013 US4,0
       (2013 UT4),0.1221,5.59,206.52,105.67,0.94,1.2,5.0,6.0,24,26.05,0.8895,218.11,2460160.01,3653213,2013 UT4,0
       (2013 UU4),0.1951,38.92,34.15,340.75,1.069,1.59,3.0,9.0,45,24.0,0.644,13.09,2456571.17,3653216,2013 UU4,0
       (2013 UF5),0.5606,2.54,87.83,328.35,1.1,3.91,61.0,6.0,48,24.5,0.249,124.44,2459500.66,3653248,2013 UF5,0
       (2013 UH5),0.2588,14.38,39.18,38.8,0.99,1.68,12.0,7.0,103,24.1,0.6386,350.24,2460015.78,3653250,2013 UH5,0
       (2013 UJ5),0.595,0.33,191.33,162.1,0.939,3.7,6.0,8.0,21,28.2,0.2791,9.15,2456560.73,3653251,2013 UJ5,0
       (2013 UK5),0.3983,3.79,175.8,172.92,1.049,2.44,9.0,8.0,18,24.3,0.4283,17.61,2456550.39,3653252,2013 UK5,0
       (2013 UL5),0.4493,26.76,27.93,254.4,0.619,1.63,13.0,8.0,46,23.4,0.8264,57.37,2456525.08,3653253,2013 UL5,0
       (2013 UM5),0.6298,11.55,30.0,119.4,0.498,2.19,8.0,8.0,43,23.9,0.6322,321.84,2456654.87,3653254,2013 UM5,0
       (2013 UN5),0.2964,18.07,32.15,13.56,1.191,2.19,33.0,6.0,27,23.2,0.4476,77.84,2459826.6,3653255,2013 UN5,0
       (2013 UO5),0.4158,4.85,84.81,292.5,1.254,3.04,2.0,9.0,12,23.2,0.3133,3.88,2456578.12,3653256,2013 UO5,0
       (2013 UP5),0.3348,14.02,32.59,7.31,1.122,2.25,11.0,8.0,23,23.6,0.45,359.25,2456596.17,3653257,2013 UP5,0
       (2013 UQ5),0.5435,2.83,31.3,327.33,0.988,3.34,14.0,8.0,25,25.63,0.3096,9.34,2456562.34,3653258,2013 UQ5,0
       (2013 UR5),0.2551,15.25,29.9,207.23,0.64,1.08,2925.0,1.0,115,23.07,1.237,35.34,2459971.93,3653259,2013 UR5,0
       (2013 UQ8),0.5069,0.46,337.68,6.89,0.916,2.8,5.0,8.0,34,25.6,0.3893,15.53,2456554.62,3653305,2013 UQ8,0
       (2013 UR8),0.6007,3.54,199.23,181.31,1.121,4.49,83.0,6.0,41,22.6,0.2097,354.32,2460027.61,3653304,2013 UR8,0
       (2013 US8),0.2658,4.73,22.72,4.96,1.028,1.77,40.0,6.0,38,25.0,0.5946,227.5,2460223.35,3653306,2013 US8,0
       (2013 UG9),0.4863,5.72,309.19,35.55,1.115,3.23,1996.0,2.0,132,18.5,0.3083,337.31,2460074.1,3653320,2013 UG9,0
       (2013 UH9),0.5964,13.06,222.1,186.92,1.043,4.12,14928.0,0.0,508,18.61,0.2373,84.41,2459644.82,3653321,2013 UH9,0
       (2013 UJ9),0.5678,6.29,216.62,207.01,0.972,3.52,4.0,7.0,40,26.5,0.2925,267.94,2460315.29,3653324,2013 UJ9,0
       (2013 UK9),0.4927,7.12,218.26,144.36,0.972,2.86,7.0,8.0,25,26.2,0.3715,11.12,2456567.55,3653323,2013 UK9,0
       (2013 UL9),0.5552,10.26,217.46,184.06,1.101,3.85,9.0,9.0,28,24.3,0.2532,359.61,2456600.04,3653319,2013 UL9,0
       (2013 UM9),0.2466,2.96,38.59,284.02,0.916,1.52,1477.0,0.0,65,24.6,0.7352,37.52,2459949.46,3653322,2013 UM9,0
       (2013 UG10),0.5893,15.0,22.32,336.67,1.06,4.1,31.0,7.0,33,22.7,0.2379,95.99,2459596.95,3653343,2013 UG10,0
       (2013 UJ10),0.5873,3.54,233.73,139.04,1.06,4.08,8.0,9.0,20,25.3,0.2394,6.12,2456573.94,3653344,2013 UJ10,0
       (2013 UV10),0.4636,7.0,237.2,269.61,1.104,3.01,3492.0,0.0,453,19.7,0.3337,2.25,2459993.75,3653388,2013 UV10,0
       (2013 UX14),0.5333,7.2,40.16,331.7,1.087,3.57,2644.0,0.0,695,18.21,0.2771,243.45,2460421.08,3655374,2013 UX14,0
       (2013 VK),0.2979,22.87,215.66,142.61,0.977,1.81,7.0,7.0,52,24.6,0.6001,263.49,2460161.33,3653389,2013 VK,0
       (2013 VL),0.2887,7.52,218.0,106.19,0.84,1.52,7.0,7.0,22,27.7,0.7681,136.12,2459823.28,3653390,2013 VL,0
       (2013 VG2),0.651,5.7,217.44,228.26,0.915,4.33,2.0,7.0,48,26.4,0.2321,66.2,2459715.31,3653410,2013 VG2,0
       (2013 VH2),0.5995,3.83,221.67,197.75,1.0,3.99,4.0,8.0,26,27.4,0.2498,356.06,2456615.26,3653411,2013 VH2,0
       (2013 VJ2),0.2804,38.33,226.26,202.84,1.112,1.98,24.0,7.0,114,21.6,0.5129,289.76,2460137.45,3653413,2013 VJ2,0
       (2013 VK2),0.4983,3.94,247.13,94.5,1.189,3.55,4071.0,1.0,51,19.5,0.2701,221.26,2460514.23,3653412,2013 VK2,0
       (2013 VL2),0.6014,14.45,42.52,335.69,1.17,4.7,12.0,8.0,30,22.4,0.196,6.17,2456570.03,3653414,2013 VL2,0
       (2013 VM2),0.4551,7.29,43.31,338.78,1.01,2.7,34.0,7.0,91,24.2,0.3903,253.95,2460272.19,3653415,2013 VM2,0
       (2013 VM4),0.2544,18.71,195.39,249.86,1.245,2.1,3465.0,1.0,106,20.48,0.4566,84.1,2459816.31,3653469,2013 VM4,0
       (2013 VN4),0.5181,17.79,228.74,153.64,1.192,3.75,62.0,5.0,53,21.7,0.2535,149.74,2459409.79,3653470,2013 VN4,0
       (2013 VO4),0.3575,4.38,220.16,209.71,0.998,2.11,10.0,7.0,27,27.1,0.5088,276.56,2460164.5,3653468,2013 VO4,0
       (2013 VP4),0.6084,3.32,53.52,303.35,1.024,4.21,3.0,9.0,18,24.3,0.2331,9.76,2456560.63,3653471,2013 VP4,0
