full_name,eccentricity,inclination (deg),node (deg),perihelion arg (deg),perihelion distance (au),aphelion distance (au),data_arc,condition_code,n_obs_used,absolute magnitude,n,mean anomaly,time perihelion passage (tdb),spkid,pdes,pha_
       (2015 XN129),0.4335,0.14,225.05,217.81,1.025,2.59,4.0,8.0,26,27.9,0.4048,356.61,2457370.87,3736235,2015 XN129,0
       (2015 XO129),0.6312,2.14,245.85,127.21,0.898,3.97,22.0,8.0,30,25.2,0.2592,12.42,2457315.58,3736238,2015 XO129,0
       (2015 XP129),0.3942,20.04,269.48,16.88,0.961,2.21,2185.0,0.0,70,18.95,0.4933,325.75,2460069.94,3736234,2015 XP129,1
       (2015 XQ129),0.6909,1.41,112.24,234.81,0.751,4.11,7.0,9.0,18,24.4,0.26,15.39,2457302.31,3736236,2015 XQ129,0
       (2015 XS129),0.3903,4.77,245.55,176.7,1.045,2.38,10.0,8.0,33,25.6,0.4396,5.12,2457351.84,3736242,2015 XS129,0
       (2015 XT129),0.3475,1.01,330.99,151.05,1.116,2.3,121.0,4.0,207,22.0,0.441,64.99,2459853.11,3736240,2015 XT129,0
       (2015 XU129),0.2662,13.3,73.28,10.23,1.137,1.96,10.0,8.0,15,24.7,0.5111,354.47,2457374.31,3736239,2015 XU129,0
       (2015 XV129),0.2365,11.15,73.84,346.15,1.004,1.63,6.0,7.0,31,26.9,0.6539,294.89,2460100.07,3736243,2015 XV129,0
       (2015 XW129),0.3454,26.8,232.83,238.01,1.198,2.46,26.0,6.0,32,22.0,0.3983,309.04,2460128.46,3736244,2015 XW129,0
       (2015 XX129),0.0336,8.13,251.42,85.09,1.007,1.08,12.0,7.0,20,26.6,0.9267,17.11,2459982.04,3736245,2015 XX129,0
       (2015 XB130),0.617,12.53,46.97,330.63,1.012,4.27,28.0,7.0,37,21.51,0.2294,252.84,2460467.58,3736246,2015 XB130,0
       (2015 XC130),0.4093,16.68,35.16,74.76,1.277,3.05,1035.0,2.0,64,20.7,0.3102,81.72,2459737.0,3736247,2015 XC130,0
       (2015 XD130),0.4636,32.98,253.56,297.88,0.795,2.17,5879.0,0.0,438,19.47,0.5461,300.93,2460108.68,3736248,2015 XD130,1
       (2015 XS168),0.371,22.01,69.55,191.61,0.602,1.31,5.0,7.0,30,23.1,1.054,60.63,2459942.96,3736386,2015 XS168,0
       (2015 XT168),0.276,19.74,58.6,225.57,0.68,1.2,793.0,2.0,80,20.9,1.083,82.09,2459924.69,3736387,2015 XT168,0
       (2015 XU168),0.72,10.72,149.9,161.16,0.697,4.28,2715.0,0.0,65,20.29,0.2507,322.03,2460151.94,3736389,2015 XU168,0
       (2015 XV168),0.2302,7.02,249.42,166.97,1.001,1.6,6.0,7.0,9,27.5,0.6643,321.8,2460058.0,3736388,2015 XV168,0
       (2015 XW168),0.6074,9.52,233.68,254.79,0.971,3.97,127.0,6.0,48,23.9,0.2535,299.61,2460238.71,3736391,2015 XW168,0
       (2015 XX168),0.4259,0.98,282.1,299.91,0.482,1.2,10.0,7.0,45,25.6,1.282,30.09,2459977.02,3736390,2015 XX168,0
       (2015 XZ168),0.3108,16.78,257.18,98.3,0.824,1.57,10.0,7.0,85,24.7,0.7537,232.98,2460169.03,3736392,2015 XZ168,0
       (2015 XA169),0.4135,12.14,77.54,40.8,0.938,2.26,6.0,7.0,39,27.4,0.4875,188.59,2460352.07,3736393,2015 XA169,0
       (2015 XB169),0.5084,7.68,249.17,214.01,1.173,3.6,36.0,6.0,25,24.5,0.2673,337.83,2460083.45,3736394,2015 XB169,0
       (2015 XD169),0.1212,3.75,249.13,137.79,0.954,1.22,26.0,6.0,46,26.9,0.872,176.85,2459797.68,3736395,2015 XD169,0
       (2015 XM169),0.4775,1.96,75.05,320.01,1.003,2.84,3.0,8.0,14,25.7,0.3706,12.83,2457329.88,3736403,2015 XM169,0
       (2015 XN169),0.3803,17.85,253.53,352.57,0.564,1.26,2593.0,0.0,122,22.28,1.136,316.05,2460039.18,3736406,2015 XN169,0
       (2015 XO169),0.4466,4.4,137.61,319.44,1.097,2.87,65.0,5.0,61,23.2,0.3531,204.65,2460440.49,3736405,2015 XO169,0
       (2015 XP169),0.3186,8.06,71.18,286.55,0.814,1.58,7.0,7.0,43,26.1,0.7549,233.93,2460167.49,3736407,2015 XP169,0
       (2015 XR169),0.3464,0.04,263.54,252.78,0.795,1.64,7.0,7.0,32,28.7,0.7354,94.35,2459872.21,3736409,2015 XR169,0
       (2015 XU169),0.3673,10.62,74.09,32.6,0.972,2.1,10.0,8.0,15,27.0,0.5177,344.66,2457391.14,3736410,2015 XU169,0
       (2015 XV169),0.2856,33.74,98.75,24.34,1.214,2.19,36.0,6.0,106,21.0,0.4447,72.05,2459838.49,3736411,2015 XV169,0
       (2015 XX169),0.1852,7.6,256.29,282.42,0.818,1.19,730.0,0.0,57,27.4,0.979,345.37,2460015.44,3736412,2015 XX169,0
       (2015 XY169),0.2869,8.49,78.77,11.3,1.001,1.81,1835.0,0.0,59,25.2,0.5926,112.19,2459811.18,3736413,2015 XY169,0
       (2015 XD261),0.3228,19.06,257.42,162.73,1.191,2.33,5089.0,1.0,43,22.45,0.4224,36.43,2459914.26,3736498,2015 XD261,0
       (2015 XE261),0.3939,7.92,76.83,55.75,0.988,2.27,28.0,7.0,17,24.7,0.4733,141.31,2459701.91,3736496,2015 XE261,0
       (2015 XF261),0.3192,0.79,209.9,100.82,0.674,1.31,1498.0,1.0,67,25.0,1.0,205.39,2460155.09,3736497,2015 XF261,0
       (2015 XG261),0.1952,65.77,77.16,187.33,0.797,1.18,15.0,8.0,25,23.05,0.9999,172.02,2457197.47,3736501,2015 XG261,0
       (2015 XH261),0.5572,4.43,78.65,294.98,0.875,3.08,10.0,9.0,37,24.71,0.3546,17.82,2457316.24,3736500,2015 XH261,0
       (2015 XJ261),0.3324,16.38,125.21,287.27,1.227,2.45,3668.0,0.0,325,19.6,0.3954,340.18,2460050.62,3736499,2015 XJ261,0
       (2015 XK261),0.5808,8.09,208.74,318.56,0.942,3.55,155.0,5.0,54,21.4,0.2924,29.2,2459900.64,3736502,2015 XK261,1
       (2015 XL261),0.447,1.49,306.94,192.16,0.867,2.27,8.0,8.0,52,25.5,0.5021,337.86,2457413.58,3736503,2015 XL261,0
       (2015 XN261),0.1639,2.32,278.49,274.9,0.814,1.13,12.0,3.0,166,26.2,1.025,83.13,2459919.42,3736504,2015 XN261,0
       (2015 XO261),0.3126,11.92,51.51,11.06,1.132,2.16,59.0,7.0,30,21.53,0.4662,147.03,2459685.11,3736505,2015 XO261,0
       (2015 XP261),0.3431,18.59,258.46,86.09,1.035,2.12,2188.0,1.0,30,22.05,0.4987,278.06,2460164.81,3736506,2015 XP261,0
       (2015 XV261),0.3009,17.92,76.52,310.76,0.923,1.72,11.0,7.0,47,25.4,0.6495,298.26,2460095.55,3736515,2015 XV261,0
       (2015 XW261),0.4672,29.67,269.91,289.44,0.665,1.83,5096.0,0.0,230,21.39,0.7064,355.45,2460006.94,3736516,2015 XW261,0
       (2015 XY261),0.4645,1.59,86.89,62.0,0.8,2.19,9.0,6.0,41,27.2,0.5393,312.92,2460087.8,3736517,2015 XY261,0
       (2015 XH351),0.4089,6.02,82.36,242.79,1.235,2.94,4383.0,1.0,54,19.75,0.3263,204.55,2460476.86,3736657,2015 XH351,0
       (2015 XJ351),0.4285,19.37,254.95,76.84,0.78,1.95,24.0,6.0,68,22.37,0.6186,241.79,2460191.58,3736658,2015 XJ351,0
       (2015 XK351),0.5756,11.84,136.09,67.52,0.682,2.53,2458.0,0.0,161,20.24,0.4841,158.74,2459672.62,3736659,2015 XK351,1
       (2015 XO351),0.2204,2.01,206.33,209.39,1.043,1.63,12.0,7.0,17,26.5,0.6372,252.51,2460169.2,3736660,2015 XO351,0
       (2015 XU351),0.5785,17.56,13.41,174.31,0.702,2.63,2938.0,0.0,53,19.52,0.4587,58.81,2459872.28,3736674,2015 XU351,0
       (2015 XV351),0.4454,1.6,75.66,29.13,0.971,2.53,63.0,7.0,15,26.0,0.4252,28.65,2459933.12,3736673,2015 XV351,0
       (2015 XW351),0.3995,8.21,107.43,359.89,1.066,2.48,49.0,6.0,31,24.6,0.4167,5.39,2459987.57,3736675,2015 XW351,0
       (2015 XY351),0.4811,5.82,75.9,337.34,0.989,2.82,6.0,8.0,16,26.8,0.3743,8.55,2457346.65,3736676,2015 XY351,0
       (2015 XA352),0.169,4.11,236.54,15.39,1.055,1.48,7322.0,0.0,74,21.98,0.6892,195.7,2460238.9,3736677,2015 XA352,0
       (2015 XC352),0.1457,4.48,98.58,82.98,0.867,1.16,1307.0,1.0,84,25.7,0.9635,289.09,2460074.1,3736678,2015 XC352,0
       (2015 XE352),0.3888,2.05,45.18,225.55,0.816,1.85,2162.0,0.0,432,20.94,0.6388,22.13,2459965.86,3736679,2015 XE352,1
       (2015 XF352),0.4967,3.95,301.2,11.43,0.63,1.87,2898.0,0.0,111,21.39,0.703,123.22,2459825.21,3736681,2015 XF352,0
       (2015 XG352),0.3963,12.66,249.82,75.95,0.646,1.5,11.0,7.0,14,25.5,0.8896,247.61,2460126.83,3736682,2015 XG352,0
       (2015 XW377),0.5869,12.61,143.21,10.06,1.048,4.03,1584.0,0.0,51,21.8,0.2437,265.15,2460389.64,3736776,2015 XW377,0
       (2015 XX377),0.3983,18.17,237.18,225.35,1.111,2.58,1825.0,0.0,22,23.7,0.393,305.07,2460140.26,3736777,2015 XX377,0
       (2015 XA378),0.6391,0.23,77.11,89.67,0.661,3.0,12.0,5.0,49,25.9,0.3976,304.75,2460139.45,3736778,2015 XA378,0
       (2015 XB378),0.5941,9.89,50.76,39.45,0.988,3.88,64.0,5.0,22,21.9,0.2595,317.21,2460165.38,3736779,2015 XB378,0
       (2015 XP378),0.783,20.38,155.9,48.54,0.699,5.74,2458.0,0.0,82,18.78,0.1707,59.58,2459651.43,3736801,2015 XP378,0
       (2015 XQ378),0.3233,9.72,256.65,322.81,0.628,1.23,21.0,6.0,49,24.2,1.103,272.79,2460079.59,3736803,2015 XQ378,0
       (2015 XR378),0.5716,0.36,91.21,329.0,1.001,3.67,21.0,8.0,61,25.1,0.2761,9.07,2457352.65,3736802,2015 XR378,0
       (2015 XS378),0.6141,9.35,253.03,166.46,0.991,4.14,21.0,7.0,33,24.74,0.2396,272.29,2460366.64,3736804,2015 XS378,0
       (2015 XT378),0.2335,5.69,257.3,65.05,0.719,1.16,3.0,5.0,12,27.9,1.086,70.04,2459935.99,3736805,2015 XT378,0
       (2015 XU378),0.4858,23.75,89.67,3.24,1.015,2.93,34.0,3.0,151,21.4,0.3555,211.63,2460417.9,3736806,2015 XU378,1
       (2015 XX378),0.6411,7.46,95.59,55.5,0.779,3.56,19.0,7.0,46,24.8,0.3079,73.17,2459762.86,3736813,2015 XX378,0
       (2015 XZ378),0.0348,2.72,87.57,108.25,0.98,1.05,21.0,5.0,35,27.2,0.9641,266.44,2460097.55,3736815,2015 XZ378,0
       (2015 XA379),0.2182,1.35,148.53,349.5,1.007,1.57,123.0,4.0,280,25.3,0.6746,296.79,2460094.19,3736816,2015 XA379,0
       (2015 XB379),0.6387,8.37,140.96,19.2,1.155,5.24,2389.0,0.0,851,19.1,0.1724,79.35,2459540.23,3738543,2015 XB379,0
       (2015 XH379),0.3059,11.43,86.45,353.07,1.011,1.9,6.0,9.0,8,24.9,0.5609,0.35,2457364.87,3738553,2015 XH379,0
       (2015 XL379),0.531,6.33,78.24,302.48,1.227,4.01,10.0,8.0,20,20.7,0.2329,22.23,2457279.04,3738970,2015 XL379,0
       (2015 XV384),0.5111,3.06,106.33,18.95,0.907,2.8,1.0,8.0,8,26.4,0.3898,344.34,2457404.67,3740830,2015 XV384,0
       (2015 XW384),0.4429,5.65,258.55,95.05,0.746,1.93,1.0,9.0,7,26.11,0.6364,40.58,2457307.74,3740831,2015 XW384,0
       (2015 YA),0.2797,1.62,254.92,83.52,0.717,1.27,5.0,6.0,50,27.4,0.9927,158.77,2459840.56,3736807,2015 YA,0
       (2015 YD),0.468,3.82,267.42,159.35,1.032,2.85,35.0,7.0,80,24.1,0.3648,243.28,2460320.48,3736818,2015 YD,0
       (2015 YE),0.5298,7.55,268.06,165.21,1.081,3.52,29.0,7.0,61,23.44,0.2828,25.23,2459911.27,3736819,2015 YE,0
       (2015 YF),0.1942,16.47,80.21,254.62,0.847,1.25,4.0,8.0,22,24.9,0.9151,83.64,2457282.09,3738542,2015 YF,0
       (2015 YG),0.4875,14.62,267.93,355.28,0.383,1.11,735.0,2.0,38,23.2,1.527,220.11,2460092.13,3738544,2015 YG,0
       (2015 YH),0.263,4.97,83.39,304.92,0.919,1.57,2.0,8.0,18,27.9,0.7083,33.68,2457325.95,3738545,2015 YH,0
       (2015 YJ),0.523,0.12,264.61,79.25,0.603,1.92,3.0,7.0,29,28.2,0.6941,63.21,2459909.42,3738548,2015 YJ,0
       (2015 YK),0.1187,4.7,258.87,237.43,0.964,1.22,26.0,5.0,96,25.9,0.8611,59.91,2459930.92,3738546,2015 YK,0
       (2015 YL),0.606,1.93,268.54,184.76,1.031,4.2,24.0,8.0,50,25.6,0.2327,359.65,2457381.02,3738547,2015 YL,0
